step,batch_acc,val_acc,delta_size,new_errors,remaining_delta
0,0.0,0.7382000088691711,10001,7962,2039
1,0.0,0.7418000102043152,10001,7962,2039
2,0.001953125,0.745199978351593,10001,7961,2040
3,0.0,0.7477999925613403,10000,7960,2040
4,0.0,0.7513999938964844,10000,7960,2040
5,0.0,0.7541999816894531,10000,7960,2040
6,0.0,0.7570000290870667,10000,7960,2040
7,0.0,0.7599999904632568,9999,7959,2040
8,0.0,0.7630000114440918,9998,7958,2040
9,0.0,0.7657999992370605,9996,7957,2039
10,0.0,0.7685999870300293,9993,7954,2039
0,0.0,0.7382000088691711,10001,7962,2039
1,0.5927734375,0.796999990940094,4836,3875,961
2,0.427734375,0.7907999753952026,4317,3470,847
3,0.5263671875,0.7653999924659729,5289,4241,1048
4,0.6572265625,0.7437999844551086,6208,4996,1212
5,0.6884765625,0.7815999984741211,4256,3439,817
6,0.6298828125,0.7476000189781189,5848,4706,1142
7,0.7705078125,0.7616000175476074,5367,4287,1080
8,0.740234375,0.7554000020027161,5187,4150,1037
9,0.689453125,0.728600025177002,6938,5529,1409
10,0.75390625,0.7829999923706055,3878,3112,766
